size(n),counter(comps)
100,2976
200,11680
300,29897
400,49781
500,73852
600,114628
700,152200
800,198648
900,251746
1000,313345
1100,383524
1200,438206
1300,538975
1400,607891
1500,731410
1600,794484
1700,895619
1800,1013902
1900,1088544
2000,1195385
2100,1356181
2200,1563730
2300,1627345
2400,1764295
2500,1861654
2600,2101518
2700,2235614
2800,2547743
2900,2568093
3000,2794026
3100,2917359
3200,3290393
3300,3345740
3400,3558097
3500,3930473
3600,3947135
3700,4117189
3800,4580826
3900,4654443
4000,4918909
4100,5286840
4200,5501055
4300,5728083
4400,6005672
4500,6248587
4600,6342343
4700,6826576
4800,7262637
4900,7565404
5000,7644425
5100,8038502
5200,8174473
5300,8742862
5400,8984755
5500,9518113
5600,9709715
5700,10118638
5800,10411947
5900,10480329
6000,11168271
6100,11569061
6200,12036156
6300,12129258
6400,12672568
6500,13133279
6600,12936813
6700,13800334
6800,14617727
6900,14345118
7000,15435999
7100,15079452
7200,16432614
7300,16770132
7400,17143645
7500,17623972
7600,18067764
7700,18408274
7800,19054402
7900,19264073
8000,19876215
8100,20745381
8200,20639171
8300,21592496
8400,21502213
8500,22377379
8600,22558371
8700,23443436
8800,23613596
8900,24223536
9000,25225545
9100,25868084
9200,25755717
9300,26737368
9400,27086819
9500,27083076
9600,27853773
9700,29491298
9800,30084842
9900,30921840
10000,31074202
