size(n),counter(comps)
100,801
100,1192
100,1728
100,635
100,1493
100,1763
100,1638
100,787
100,1408
100,722
100,1494
100,663
100,592
100,1162
100,737
100,635
100,630
100,638
100,822
100,639
100,623
100,631
100,664
100,1140
100,871
100,685
100,677
100,757
100,739
100,733
100,1375
100,1078
100,678
100,1692
100,788
100,1556
100,2100
100,708
100,694
100,751
100,558
100,599
100,685
100,662
100,1369
100,1060
100,766
100,603
100,1218
100,610
200,2482
200,1844
200,4156
200,2268
200,1496
200,1753
200,2674
200,2066
200,3755
200,3514
200,1556
200,1610
200,4349
200,2267
200,4173
200,6003
200,1781
200,1470
200,3857
200,3309
200,1740
200,2817
200,1679
200,3349
200,4937
200,4440
200,2744
200,2332
200,3875
200,4221
200,1744
200,1785
200,1603
200,1989
200,1449
200,1563
200,3978
200,2164
200,2919
200,2722
200,4244
200,5789
200,2524
200,2017
200,2249
200,1724
200,3577
200,4261
200,3926
200,2593
300,3335
300,4764
300,5563
300,2863
300,6427
300,7236
300,4897
300,8419
300,5164
300,3090
300,5102
300,7994
300,2525
300,3475
300,5039
300,2526
300,3376
300,6793
300,2659
300,2744
300,6297
300,4932
300,6431
300,2959
300,2726
300,4392
300,3027
300,2856
300,4578
300,5480
300,8379
300,2442
300,8272
300,4806
300,6306
300,4162
300,3693
300,11337
300,8475
300,2962
300,16295
300,9718
300,2656
300,4375
300,2806
300,3942
300,2587
300,4503
300,7447
300,2624
400,3685
400,4056
400,3623
400,10443
400,4594
400,13423
400,15334
400,10740
400,4092
400,16709
400,5104
400,3898
400,3967
400,10873
400,6289
400,19721
400,4379
400,4158
400,8070
400,14439
400,19004
400,4160
400,8684
400,10441
400,4188
400,12055
400,3800
400,6503
400,11972
400,9261
400,3501
400,15137
400,11807
400,7542
400,5558
400,15163
400,8856
400,10704
400,4352
400,9038
400,7045
400,3729
400,4059
400,3907
400,6840
400,4762
400,3937
400,9130
400,11523
400,8141
500,8347
500,16528
500,16090
500,12650
500,4884
500,5357
500,10085
500,5688
500,12323
500,5205
500,20821
500,13298
500,4842
500,11941
500,24795
500,6362
500,19346
500,5173
500,6993
500,5055
500,4818
500,10296
500,4883
500,4890
500,19636
500,4890
500,5670
500,13883
500,17452
500,12429
500,12841
500,6835
500,17181
500,11983
500,8592
500,6249
500,14942
500,14624
500,22905
500,6519
500,13849
500,13597
500,12972
500,12009
500,21182
500,7443
500,10897
500,10057
500,9500
500,19603
600,7446
600,21828
600,7579
600,20111
600,11449
600,9707
600,22108
600,15777
600,5809
600,23627
600,34979
600,14610
600,10285
600,10685
600,6530
600,17618
600,29765
600,7129
600,10731
600,15324
600,14709
600,16180
600,29011
600,6438
600,6339
600,10738
600,11260
600,15228
600,15008
600,8645
600,11383
600,8765
600,6584
600,6759
600,15480
600,14595
600,17752
600,9329
600,21015
600,16087
600,19513
600,13540
600,18537
600,11659
600,12412
600,23443
600,13022
600,12668
600,20050
600,9114
700,19842
700,14030
700,31226
700,13246
700,43095
700,23972
700,25247
700,16967
700,10913
700,26809
700,11961
700,34400
700,15397
700,34754
700,11597
700,36547
700,15136
700,24852
700,20359
700,20263
700,17717
700,18908
700,14015
700,23600
700,23903
700,10744
700,23850
700,28494
700,23179
700,15467
700,22953
700,20537
700,61102
700,14620
700,8542
700,38789
700,19237
700,35568
700,26849
700,8618
700,17252
700,22405
700,14827
700,19954
700,10322
700,22359
700,37509
700,16343
700,15136
700,34505
800,30005
800,27360
800,14113
800,31420
800,14584
800,46747
800,18707
800,8653
800,15159
800,29327
800,38034
800,56002
800,21639
800,23758
800,17110
800,47346
800,50527
800,42050
800,38301
800,28942
800,14709
800,38735
800,21558
800,33924
800,33588
800,13544
800,14510
800,47183
800,16210
800,23227
