size(n),counter(comps)
10000,161817
20000,367438
30000,529089
40000,778785
50000,929113
60000,1102441
70000,1402102
80000,1495700
90000,1779935
100000,2063955
110000,2235799
120000,2577894
130000,2642273
140000,2940205
150000,3185613
160000,3538302
170000,3847297
180000,3831602
190000,4074970
200000,4351517
210000,4551825
220000,4928456
230000,5196246
240000,5161598
250000,5384057
260000,5684927
270000,6238236
280000,6011986
290000,6831513
300000,6946863
310000,6853080
320000,7279098
330000,7393451
340000,7731268
350000,7695090
360000,8001593
370000,8554471
380000,8784056
390000,9077047
400000,9227121
410000,9321826
420000,10018297
430000,10470087
440000,10288041
450000,11039226
460000,11427108
470000,10921136
480000,11397264
490000,11483593
500000,12106306
510000,12608335
520000,12134805
530000,12773636
540000,13006411
550000,12809759
560000,13431275
570000,14421989
580000,14086042
590000,14257981
600000,15137150
610000,14772305
620000,15405458
630000,15606685
640000,15493138
650000,16182596
660000,16316105
670000,16255888
680000,16871273
690000,17925682
700000,17716586
710000,18979554
720000,17814563
730000,18095337
740000,18988216
750000,19394483
760000,18874410
770000,19971558
780000,20963787
790000,19841146
800000,20302320
810000,20105615
820000,20554419
830000,21595449
840000,21656489
850000,23348039
860000,23080169
870000,22113877
880000,22241891
890000,23233980
900000,24217628
910000,26219099
920000,24941312
930000,25779033
940000,25316883
950000,27078649
960000,25631770
970000,25697023
980000,25977792
990000,26095307
1000000,27457409
