size(n),counter(comps)
100,529
100,570
100,541
100,550
100,559
100,583
100,570
100,561
100,559
100,548
100,567
100,525
100,525
100,549
100,555
100,581
100,535
100,568
100,554
100,581
100,527
100,530
100,612
100,555
100,564
100,537
100,525
100,574
100,536
100,551
100,559
100,561
100,558
100,548
100,557
100,546
100,572
100,582
100,553
100,533
100,557
100,542
100,528
100,585
100,545
100,530
100,537
100,550
100,536
100,577
100,545
100,552
100,561
100,530
100,525
100,531
100,547
100,533
100,541
100,524
100,546
100,549
100,559
100,552
100,561
100,566
100,560
100,552
100,558
100,558
100,528
100,538
100,571
100,557
100,568
100,537
100,537
100,560
100,533
100,531
100,550
100,547
100,550
100,540
100,590
100,541
100,588
100,529
100,564
100,537
100,556
100,553
100,553
100,558
100,570
100,561
100,549
100,564
100,557
100,543
200,1278
200,1303
200,1291
200,1267
200,1334
200,1307
200,1300
200,1333
200,1354
200,1289
200,1324
200,1342
200,1307
200,1285
200,1316
200,1331
200,1271
200,1324
200,1317
200,1328
200,1295
200,1289
200,1282
200,1278
200,1260
200,1343
200,1346
200,1300
200,1288
200,1294
200,1293
200,1349
200,1302
200,1323
200,1285
200,1269
200,1331
200,1287
200,1309
200,1343
200,1300
200,1275
200,1327
200,1312
200,1293
200,1295
200,1287
200,1294
200,1259
200,1281
200,1259
200,1331
200,1288
200,1282
200,1330
200,1282
200,1274
200,1343
200,1251
200,1307
200,1268
200,1309
200,1282
200,1292
200,1311
200,1368
200,1273
200,1277
200,1296
200,1295
200,1318
200,1304
200,1328
200,1281
200,1358
200,1348
200,1275
200,1304
200,1297
200,1336
200,1312
200,1320
200,1320
200,1323
200,1293
200,1277
200,1287
200,1307
200,1303
200,1313
200,1320
200,1304
200,1308
200,1282
200,1328
200,1353
200,1343
200,1366
200,1314
200,1321
300,2128
300,2120
300,2157
300,2185
300,2089
300,2147
300,2151
300,2109
300,2137
300,2129
300,2142
300,2210
300,2140
300,2157
300,2081
300,2134
300,2142
300,2143
300,2148
300,2210
300,2174
300,2177
300,2151
300,2164
300,2199
300,2145
300,2236
300,2213
300,2132
300,2133
300,2147
300,2103
300,2136
300,2168
300,2164
300,2154
300,2106
300,2112
300,2147
300,2145
300,2250
300,2197
300,2130
300,2122
300,2111
300,2133
300,2115
300,2087
300,2190
300,2216
300,2079
300,2182
300,2116
300,2123
300,2207
300,2146
300,2089
300,2068
300,2150
300,2129
300,2099
300,2173
300,2131
300,2159
300,2140
300,2201
300,2176
300,2147
300,2169
300,2181
300,2119
300,2142
300,2125
300,2213
300,2118
300,2224
300,2248
300,2214
300,2154
300,2160
300,2088
300,2176
300,2084
300,2191
300,2142
300,2094
300,2064
300,2160
300,2174
300,2186
300,2147
300,2104
300,2196
300,2114
300,2176
300,2113
300,2208
300,2120
300,2128
300,2134
400,3155
400,3056
400,3090
400,2998
400,3018
400,3033
400,3083
400,3065
400,3017
400,3091
400,3032
400,3001
400,3022
400,3168
400,2989
400,3055
400,3056
400,3093
400,3112
400,3158
400,3081
400,3017
400,3043
400,3041
400,3044
400,2984
400,3000
400,3004
400,3038
400,2990
400,3067
400,3053
400,3030
400,3013
400,3018
400,2969
400,3055
400,3036
400,3098
400,3142
400,3058
400,3070
400,3057
400,3055
400,3008
400,3064
400,3038
400,3045
400,3076
400,3106
400,3070
400,3128
400,3117
400,3051
400,3059
400,3091
400,3073
400,3105
400,3067
400,2992
400,3089
400,3106
400,2977
400,2978
400,3036
400,3065
400,3059
400,2968
400,3035
400,3056
400,2983
400,3129
400,2971
400,3018
400,3065
400,2983
400,3004
400,3151
400,3047
400,3000
400,2932
400,3058
400,3038
400,3105
400,3052
400,3089
400,3033
400,3114
400,3027
400,3011
400,3121
400,3195
400,3144
400,3014
400,3049
400,3032
400,3016
400,3053
400,3045
400,3021
500,4013
500,3980
500,4015
500,4001
500,4007
500,3944
500,3974
500,3920
500,4044
500,4121
500,4157
500,4030
500,4047
500,3967
500,3890
500,4032
500,4004
500,3993
500,3947
500,3982
500,4037
500,3964
500,4000
500,4022
500,4075
500,4004
500,4004
500,3940
500,3997
500,3966
500,3985
500,4026
500,4035
500,4093
500,3953
500,3947
500,4000
500,4029
500,3977
500,3981
500,3985
500,3946
500,3901
500,3930
500,3945
500,4127
500,4063
500,4119
500,4015
500,3980
500,4077
500,4070
500,4001
500,3923
500,3992
500,3989
500,4030
500,4006
500,3847
500,4071
500,4069
500,4076
500,4096
500,4040
500,4058
500,3911
500,4100
500,4093
500,3975
500,3916
500,3939
500,4011
500,4000
500,3995
500,3966
500,4087
500,3897
500,4101
500,3952
500,4039
500,3990
500,3965
500,4033
500,3987
500,3911
500,3999
500,4138
500,3991
500,3943
500,4134
500,3952
500,3965
500,4022
500,3964
500,4006
500,3994
500,4082
500,3986
500,3998
500,3989
600,4961
600,4870
600,4945
600,4868
600,5079
600,4971
600,4892
600,4995
600,5108
600,4953
600,4944
600,5061
600,5038
600,5034
600,5138
600,5066
600,5053
600,4908
600,4919
600,4897
600,5004
600,4971
600,4874
600,4940
600,4892
600,4998
600,4998
600,4948
600,5063
600,5020
600,4960
600,4993
600,5097
600,4963
600,4944
600,5094
600,4988
600,4918
600,5042
600,4973
600,4979
600,5015
600,4998
600,4766
600,5049
600,4871
600,4830
600,5030
600,4966
600,4909
600,5020
600,4892
600,4971
600,4984
600,4979
600,4932
600,5035
600,4998
600,5064
600,4986
600,4951
600,4923
600,4914
600,4937
600,5050
600,4982
600,5010
600,4977
600,4848
600,4907
600,4863
600,4946
600,4970
600,5015
600,4925
600,4950
600,5029
600,4970
600,4875
600,4923
600,4918
600,4942
600,4952
600,4934
600,5102
600,5029
600,4970
600,5036
600,5068
600,4979
600,4846
600,4950
600,4990
600,4928
600,4860
600,4990
600,4864
600,5025
600,4926
600,4967
700,5969
700,5938
700,5876
700,5996
700,6104
700,6028
700,5989
700,5922
700,5997
700,5968
700,5894
700,5908
700,6024
700,5934
700,5924
700,5890
700,6054
700,5971
700,6101
700,5938
700,6099
700,5949
700,5941
700,5892
700,5914
700,5819
700,5974
700,6119
700,5871
700,6063
700,6176
700,5823
700,6025
700,5860
700,5892
700,5901
700,5824
700,5948
700,5842
700,6070
700,6068
700,5901
700,5956
700,6040
700,5962
700,5747
700,5946
700,5968
700,6113
700,5975
700,5920
700,5988
700,5945
700,5935
700,5934
700,5977
700,5936
700,5856
700,6083
700,5875
700,5854
700,5936
700,5947
700,5877
700,5892
700,6052
700,6016
700,5803
700,6052
700,5849
700,6056
700,5921
700,5878
700,5909
700,6021
700,5936
700,6028
700,5822
700,5948
700,5950
700,5878
700,5905
700,6080
700,6096
700,5967
700,6007
700,5987
700,6016
700,6032
700,5870
700,5836
700,5975
700,5944
700,5898
700,5948
700,5846
700,6061
700,5973
700,6016
700,6088
800,6872
800,6999
800,7042
800,6982
800,6936
800,6935
800,7006
800,6843
800,6934
800,7092
800,6822
800,6979
800,7160
800,6920
800,6934
800,6984
800,6881
800,7005
800,6992
800,7024
800,6967
800,6983
800,7174
800,7057
800,6946
800,6976
800,6967
800,6927
800,6889
800,6874
800,7148
800,7131
800,6948
800,6818
800,6818
800,7044
800,7008
800,6988
800,7239
800,6938
800,7047
800,6962
800,7013
800,6948
800,7013
800,7202
800,6948
800,7004
800,6911
800,7050
800,7154
800,7058
800,6989
800,6944
800,6934
800,7047
800,6924
800,6963
800,6897
800,6906
800,7033
800,6877
800,6977
800,6905
800,6957
800,6949
800,6838
800,6859
800,6915
800,7062
800,7024
800,6989
800,7148
800,7039
800,6923
800,6914
800,7066
800,7062
800,6885
800,6909
800,6958
800,7169
800,7007
800,6945
800,7024
800,7266
800,7039
800,7022
800,6899
800,7026
800,6875
800,6909
800,7219
800,6928
800,7113
800,6998
800,6949
800,6834
800,7025
800,6856
900,7936
900,7896
900,8120
900,8117
900,7997
900,7869
900,8087
900,8018
900,8067
900,8136
900,8057
900,7927
900,8163
900,7924
900,7879
900,7900
900,7955
900,7872
900,7991
900,7952
900,8014
900,8011
900,8058
900,8178
900,7947
900,7886
900,8147
900,7934
900,7914
900,7959
900,8034
900,7944
900,8128
900,7966
900,8058
900,7977
900,7954
900,8127
900,8140
900,7977
900,8067
900,8139
900,8051
900,7996
900,8019
900,7979
900,8156
900,8065
900,7937
900,8010
900,8049
900,8069
900,7965
900,8172
900,7890
900,7926
900,8159
900,8036
900,8010
900,7970
900,8064
900,7838
900,7929
900,8059
900,7870
900,8156
900,7951
900,8095
900,8059
900,7851
900,7791
900,7986
900,8223
900,8034
900,7954
900,7922
900,8044
900,8180
900,7925
900,8218
900,8164
900,7918
900,8031
900,8114
900,7937
900,8043
900,7898
900,8016
900,7978
900,7893
900,8176
900,7945
900,8220
900,8110
900,7937
900,7981
900,7869
900,8097
900,7979
900,8285
1000,9088
1000,9056
1000,8990
1000,8977
1000,8901
1000,9005
1000,9317
1000,8942
1000,9206
1000,8939
1000,8925
1000,9159
1000,9090
1000,9210
1000,9048
1000,8957
1000,9122
1000,8995
1000,9227
1000,9177
1000,9137
1000,9081
1000,8984
1000,9115
1000,8968
1000,8926
1000,9190
1000,9224
1000,8985
1000,9077
1000,9131
1000,9220
1000,8999
1000,9017
1000,9152
1000,8966
1000,9087
1000,9041
1000,9169
1000,9102
1000,9080
1000,9221
1000,9250
1000,9080
1000,9136
1000,9087
1000,9115
1000,8999
1000,9203
1000,9196
1000,8930
1000,9099
1000,9091
1000,9018
1000,9327
1000,9128
1000,8908
1000,9086
1000,9122
1000,9310
1000,9135
1000,9243
1000,8980
1000,9026
1000,9027
1000,9028
1000,9163
1000,9033
1000,8968
1000,9044
1000,9154
1000,9166
1000,9052
1000,8976
1000,8975
1000,9080
1000,9076
1000,9250
1000,9038
1000,8865
1000,8963
1000,9255
1000,9242
1000,9117
1000,9078
1000,9122
1000,8982
1000,9022
1000,8920
1000,9203
1000,9169
1000,9142
1000,9031
1000,9080
1000,9045
1000,8991
1000,9263
1000,9245
1000,9069
1000,9052
1100,10060
1100,10184
1100,10026
1100,10052
1100,10064
1100,10206
1100,10093
1100,10166
1100,10172
1100,10090
1100,10032
1100,10246
1100,9938
1100,10027
1100,10212
1100,10018
1100,10231
1100,10127
1100,10099
1100,10128
1100,10004
1100,9988
1100,10258
1100,10424
1100,9981
1100,10118
1100,10113
1100,10003
1100,10241
1100,10028
1100,10019
1100,10100
1100,10070
1100,10204
1100,10084
1100,10173
1100,10078
1100,10249
1100,10204
1100,10173
1100,10100
1100,10041
1100,10290
1100,10190
1100,10130
1100,10096
1100,10023
1100,10049
1100,10279
1100,10243
1100,9980
1100,10112
1100,10257
1100,10097
1100,10193
1100,10080
1100,10015
1100,10130
1100,10132
1100,10025
1100,10147
1100,10020
1100,10047
1100,10279
1100,10205
1100,9990
1100,10188
1100,10010
1100,10267
1100,10191
1100,10079
1100,10148
1100,10090
1100,10173
1100,10025
1100,9956
1100,10085
1100,10079
1100,10134
1100,10079
1100,9937
1100,10231
1100,10283
1100,10022
1100,10164
1100,10419
1100,10128
1100,10132
1100,10015
1100,10010
1100,10285
1100,10048
1100,10101
1100,10131
1100,10187
1100,10140
1100,10183
1100,10177
1100,10373
1100,10134
1200,11308
1200,11172
1200,11106
1200,11576
1200,11010
1200,10901
1200,11393
1200,11098
1200,11564
1200,11338
1200,11223
1200,11292
1200,11183
1200,11261
1200,11461
1200,11149
1200,11349
1200,11117
1200,10982
1200,11063
1200,11222
1200,11175
1200,11208
1200,11383
1200,11195
1200,11246
1200,11186
1200,11154
1200,11353
1200,11584
1200,11201
1200,11384
1200,11320
1200,11253
1200,11230
1200,11342
1200,11260
1200,11219
1200,11113
1200,11180
1200,11138
1200,11188
1200,11376
1200,11051
1200,11066
1200,11365
1200,11245
1200,11250
1200,11175
1200,11376
1200,11126
1200,11331
1200,11267
1200,11602
1200,11182
1200,11163
1200,11315
1200,11064
1200,11337
1200,11389
1200,11178
1200,11399
1200,11241
1200,11214
1200,11266
1200,11326
1200,11112
1200,11061
1200,11246
1200,11178
1200,11336
1200,11303
1200,11198
1200,11119
1200,11350
1200,11196
1200,11249
1200,11297
1200,11176
1200,11111
1200,11316
1200,11314
1200,11347
1200,11409
1200,11252
1200,11199
1200,11159
1200,11374
1200,11269
1200,11291
1200,11362
1200,11210
1200,11243
1200,11171
1200,11159
1200,11333
1200,11219
1200,11284
1200,11287
1200,11271
1300,12334
1300,12443
1300,12219
1300,12327
1300,12588
1300,12252
1300,12711
1300,12144
1300,12236
1300,12428
1300,12471
1300,12692
1300,12461
1300,12333
1300,12378
1300,12461
1300,12604
1300,12224
1300,12478
1300,12441
1300,12367
1300,12314
1300,12503
1300,12158
1300,12337
1300,12507
1300,12122
1300,12328
1300,12350
1300,12558
1300,12242
1300,12252
1300,12289
1300,12450
1300,12679
1300,12296
1300,12164
1300,12353
1300,12277
1300,12193
1300,12519
1300,12327
1300,12168
1300,12180
1300,12390
1300,12280
1300,12137
1300,12215
1300,12535
1300,12580
1300,12467
1300,12553
1300,12174
1300,12239
1300,12570
1300,12274
1300,12254
1300,12318
1300,12384
1300,12249
1300,12517
1300,12235
1300,12584
1300,12236
1300,12212
1300,12364
1300,12480
1300,12348
1300,12413
1300,12108
1300,12321
1300,12309
1300,12521
1300,12317
1300,12360
1300,12569
1300,12369
1300,12295
1300,12513
1300,12271
1300,12381
1300,12509
1300,12302
1300,12429
1300,12127
1300,12338
1300,12235
1300,12290
1300,12338
1300,12324
1300,12319
1300,12191
1300,12242
1300,12287
1300,12246
1300,12421
1300,12479
1300,12360
1300,12172
1300,12166
1400,13471
1400,13418
1400,13616
1400,13297
1400,13675
1400,13465
1400,13356
1400,13301
1400,13369
1400,13399
1400,13404
1400,13353
1400,13176
1400,13297
1400,13320
1400,13506
1400,13271
1400,13269
1400,13446
1400,13580
1400,13356
1400,13261
1400,13373
1400,13702
1400,13294
1400,13412
1400,13582
1400,13487
1400,13521
1400,13670
1400,13424
1400,13529
1400,13336
1400,13491
1400,13463
1400,13504
1400,13548
1400,13510
1400,13361
1400,13433
1400,13690
1400,13485
1400,13436
1400,13452
1400,13387
1400,13435
1400,13577
1400,13249
1400,13316
1400,13572
1400,13519
1400,13470
1400,13617
1400,13215
1400,13688
1400,13237
1400,13403
1400,13539
1400,13260
1400,13327
1400,13402
1400,13303
1400,13685
1400,13492
1400,13312
1400,13579
1400,13516
1400,13891
1400,13311
1400,13616
1400,13848
1400,13477
1400,13301
1400,13281
1400,13268
1400,13379
1400,13347
1400,13475
1400,13323
1400,13371
1400,13772
1400,13373
1400,13526
1400,13570
1400,13542
1400,13520
1400,13740
1400,13294
1400,13389
1400,13676
1400,13329
1400,13611
1400,13402
1400,13197
1400,13573
1400,13545
1400,13333
1400,13310
1400,13370
1400,13588
1500,14620
1500,14904
1500,14539
1500,14715
1500,14786
1500,14755
1500,14707
1500,14756
1500,14544
1500,14460
1500,14603
1500,14446
1500,14668
1500,14646
1500,14224
1500,14452
1500,14915
1500,14407
1500,14541
1500,14770
1500,14619
1500,14552
1500,14417
1500,14726
1500,15088
1500,14292
1500,14688
1500,14725
1500,14503
1500,14413
1500,15062
1500,14699
1500,14511
1500,14778
1500,14784
1500,14490
1500,14715
1500,14833
1500,14728
1500,14913
1500,14535
1500,14588
1500,14574
1500,14557
1500,14562
1500,14496
1500,14577
1500,14812
1500,14471
1500,14544
1500,14555
1500,14516
1500,14542
1500,14546
1500,14498
1500,14483
1500,14594
1500,14540
1500,14404
1500,14569
1500,14400
1500,14278
1500,14606
1500,14533
1500,14835
1500,14475
1500,14545
1500,14683
1500,14520
1500,14390
1500,14826
1500,14586
1500,14571
1500,14496
1500,14643
1500,14644
1500,14669
1500,14615
1500,14665
1500,14788
1500,14895
1500,14722
1500,14511
1500,14188
1500,14385
1500,14861
1500,14463
1500,14675
1500,14740
1500,14521
1500,14908
1500,14706
1500,14534
1500,14742
1500,14607
1500,14692
1500,14551
1500,14432
1500,14596
1500,14743
1600,15732
1600,15663
1600,15607
1600,16201
1600,15819
1600,15751
1600,15536
1600,16019
1600,15773
1600,15878
1600,15774
1600,15591
1600,15924
1600,15606
1600,15676
1600,15586
1600,15953
1600,15634
1600,15788
1600,15783
1600,15684
1600,15679
1600,15639
1600,15977
1600,15730
1600,15833
1600,15704
1600,15328
1600,15642
1600,15782
1600,15568
