size(n),counter(comps)
100,586
100,604
100,567
100,729
100,603
100,610
100,596
100,624
100,666
100,684
100,554
100,596
100,637
100,661
100,596
100,726
100,598
100,575
100,566
100,565
100,678
100,580
100,673
100,681
100,598
100,671
100,566
100,624
100,658
100,574
100,661
100,680
100,583
100,555
100,631
100,623
100,641
100,760
100,773
100,545
100,569
100,613
100,605
100,552
100,583
100,702
100,809
100,579
100,600
100,672
100,650
100,652
100,762
100,645
100,580
100,577
100,657
100,575
100,586
100,627
100,656
100,578
100,637
100,631
100,538
100,603
100,568
100,625
100,592
100,603
100,630
100,571
100,751
100,694
100,594
100,602
100,732
100,605
100,657
100,608
100,595
100,593
100,564
100,573
100,663
100,616
100,562
100,641
100,592
100,820
100,583
100,532
100,572
100,576
100,577
100,605
100,651
100,723
100,582
100,671
200,1366
200,1328
200,1494
200,1830
200,1442
200,1550
200,1605
200,1478
200,1393
200,1664
200,1381
200,1460
200,1469
200,1563
200,1381
200,1514
200,1571
200,1371
200,1397
200,1648
200,1371
200,1415
200,1604
200,1486
200,1489
200,1437
200,1457
200,1675
200,1601
200,1428
200,1484
200,1607
200,1502
200,1454
200,1544
200,1399
200,1577
200,1471
200,1574
200,1494
200,1428
200,1542
200,1475
200,1430
200,1462
200,1469
200,1514
200,1401
200,1522
200,1577
200,1579
200,1619
200,1340
200,1539
200,1463
200,1369
200,1604
200,1605
200,1463
200,1804
200,1485
200,1438
200,1528
200,1593
200,1484
200,1372
200,1537
200,1462
200,1748
200,1577
200,1437
200,1661
200,1823
200,1607
200,1390
200,1652
200,1459
200,1575
200,1689
200,1477
200,1633
200,1344
200,1519
200,1535
200,1345
200,1475
200,1365
200,1501
200,1490
200,1448
200,1512
200,1565
200,1683
200,1656
200,1580
200,1797
200,1459
200,1454
200,1334
200,1371
300,2373
300,2337
300,2735
300,2379
300,2470
300,2436
300,2749
300,2360
300,2321
300,2328
300,2514
300,2341
300,2688
300,2811
300,2724
300,2364
300,2181
300,2334
300,2481
300,2491
300,2343
300,2529
300,2538
300,2644
300,2533
300,2421
300,2283
300,2732
300,2410
300,2580
300,2850
300,2488
300,2416
300,2356
300,2518
300,2318
300,2401
300,2623
300,2474
300,2431
300,2300
300,2406
300,2490
300,2416
300,2420
300,2518
300,2427
300,2242
300,2339
300,2582
300,2516
300,2572
300,2332
300,2390
300,2275
300,2373
300,2880
300,2226
300,2375
300,2371
