size(n),counter(comps)
100,627
100,647
100,650
100,695
100,600
100,753
100,611
100,671
100,570
100,730
100,600
100,614
100,612
100,648
100,600
100,643
100,689
100,643
100,643
100,664
100,578
100,547
100,582
100,597
100,697
100,641
100,596
100,631
100,690
100,667
100,597
100,621
100,652
100,634
100,818
100,557
100,672
100,645
100,638
100,618
100,630
100,645
100,612
100,624
100,631
100,649
100,605
100,574
100,600
100,591
100,676
100,716
100,757
100,659
100,570
100,611
100,700
100,611
100,685
100,624
100,663
100,591
100,590
100,627
100,636
100,744
100,667
100,661
100,638
100,671
100,601
100,609
100,645
100,576
100,700
100,630
100,646
100,588
100,629
100,771
100,644
100,659
100,603
100,603
100,642
100,589
100,709
100,659
100,747
100,569
100,805
100,564
100,765
100,646
100,744
100,638
100,670
100,665
100,562
100,668
200,1612
200,1391
200,1542
200,1583
200,1504
200,1699
200,1458
200,1473
200,2110
200,1512
200,1814
200,1447
200,1706
200,1501
200,1743
200,1467
200,1497
200,1721
200,1515
200,1603
200,1481
200,1577
200,1581
200,1509
200,1493
200,1660
200,1600
200,1492
200,1526
200,1396
200,1542
200,1583
200,1526
200,1512
200,1497
200,1546
200,1655
200,1453
200,1477
200,1633
200,1457
200,1467
200,1510
200,1629
200,1448
200,1538
200,1417
200,1727
200,1785
200,1443
200,1642
200,1567
200,1473
200,1611
200,1480
200,1526
200,1407
200,1509
200,1470
200,1539
200,1449
200,1540
200,1538
200,1427
200,1615
200,1541
200,1528
200,1577
200,1495
200,1583
200,1446
200,1417
200,1681
200,1370
200,1456
200,1588
200,1497
200,1527
200,1373
200,1500
200,1566
200,1452
200,1463
200,1558
200,1558
200,1721
200,1424
200,1517
200,1593
200,1384
200,1404
200,1413
200,1682
200,1625
200,1532
200,1633
200,1718
200,1385
200,1587
200,1808
300,2504
300,2538
300,2761
300,2485
300,2260
300,2445
300,2537
300,2512
300,2420
300,2330
300,2525
300,2280
300,2599
300,2459
300,2392
300,2356
300,2875
300,2866
300,2852
300,2748
300,2609
300,2496
300,2534
300,2529
300,2623
300,2652
300,2432
300,2415
300,2646
300,2674
300,2489
300,2747
300,2861
300,2716
300,2457
300,2615
300,2419
300,2638
300,2507
300,2615
300,2346
300,3232
300,2624
300,2572
300,2537
300,2415
300,2462
300,2766
300,2939
300,2805
300,2734
300,2669
300,2530
300,2483
300,2572
300,2487
300,2424
300,2461
300,2280
300,2600
300,2845
300,2326
300,2599
300,2591
300,2539
300,2592
300,2514
300,2425
300,2689
300,2442
300,2444
300,2512
300,2478
300,2688
300,2581
300,2299
300,2433
300,2415
300,2654
300,2615
300,2521
300,2491
300,2563
300,2537
300,2753
300,2335
300,2383
300,2605
300,2548
300,2572
300,2561
300,2377
300,2956
300,2592
300,2527
300,3092
300,2543
300,2427
300,2386
300,2394
400,3690
400,3491
400,3943
400,3896
400,3927
400,3654
400,3558
400,3517
400,3897
400,3599
400,4039
400,3142
400,3237
400,3385
400,3814
400,3436
400,3385
400,3838
400,3820
400,3862
400,3689
400,3775
400,3841
400,3628
400,3419
400,3479
400,3736
400,3605
400,3702
400,3305
400,3516
400,3850
400,3815
400,3605
400,4105
400,3570
400,3874
400,4351
400,3449
400,3908
400,3580
400,3771
400,3378
400,3875
400,3897
400,3930
400,3970
400,3293
400,3442
400,3619
400,3449
400,3753
400,3874
400,3421
400,3493
400,3538
400,3648
400,4230
400,3183
400,3477
400,3997
