size(n),counter(comps)
100,666
100,665
100,719
100,635
100,608
100,612
100,582
100,613
100,708
100,610
100,577
100,691
100,748
100,664
100,599
100,581
100,657
100,581
100,598
100,593
100,604
100,564
100,643
100,646
100,617
100,677
100,555
100,760
100,622
100,639
100,765
100,673
100,652
100,563
100,609
100,570
100,611
100,655
100,646
100,707
100,817
100,639
100,737
100,651
100,627
100,573
100,848
100,622
100,617
100,578
200,1342
200,1575
200,1635
200,1546
200,1564
200,1402
200,1470
200,1494
200,1495
200,1775
200,1691
200,1993
200,1654
200,1763
200,1514
200,1556
200,1512
200,1923
200,1621
200,1513
200,1772
200,1520
200,1412
200,1589
200,1511
200,1533
200,1493
200,1323
200,1365
200,1449
200,1541
200,1578
200,1522
200,1544
200,1642
200,1621
200,1489
200,1652
200,1578
200,1404
200,1610
200,1684
200,1462
200,1672
200,1464
200,1562
200,1559
200,1716
200,1469
200,1421
300,2677
300,2746
300,2678
300,2840
300,3036
300,2710
300,2543
300,2616
300,2414
300,2496
300,2698
300,2677
300,2643
300,2476
300,2630
300,3002
300,2762
300,2475
300,2528
300,2522
300,2821
300,2546
300,2721
300,2553
300,2730
300,2646
300,2361
300,2459
300,2294
300,2609
300,2321
300,2650
300,2342
300,2743
300,2307
300,2323
300,2633
300,2553
300,2300
300,2577
300,2684
300,2575
300,2745
300,2506
300,2758
300,2876
300,2768
300,2562
300,2881
300,2713
400,4260
400,3466
400,3525
400,3482
400,3611
400,3509
400,3866
400,3629
400,4072
400,3571
400,3856
400,3712
400,3654
400,3501
400,3454
400,3551
400,3631
400,3387
400,3544
400,3785
400,3983
400,3696
400,4508
400,3681
400,3704
400,3793
400,3644
400,3464
400,4255
400,3768
400,3774
400,3695
400,4677
400,3509
400,3970
400,3690
400,3606
400,3930
400,3582
400,3408
400,3900
400,3512
400,4124
400,3433
400,4132
400,3260
400,3749
400,3420
400,4172
400,3395
500,5102
500,5668
500,4568
500,4801
500,4806
500,4761
500,4369
500,5134
500,4785
500,4618
500,4879
500,5070
500,4620
500,4671
500,4578
