size(n),counter(comps)
100,719
100,670
100,654
100,623
100,613
100,620
100,654
100,650
100,579
100,570
100,827
100,629
100,701
100,642
100,610
100,683
100,598
100,627
100,609
100,707
100,651
100,609
100,639
100,600
100,616
100,713
100,621
100,607
100,753
100,672
100,904
100,634
100,605
100,609
100,526
100,572
100,764
100,638
100,605
100,684
100,600
100,608
100,771
100,616
100,612
100,599
100,661
100,627
100,638
100,641
100,595
100,802
100,554
100,610
100,661
100,575
100,652
100,653
100,577
100,584
100,605
100,633
100,654
100,580
100,644
100,626
100,604
100,740
100,743
100,593
100,597
100,695
100,540
100,682
100,592
100,597
100,695
100,639
100,876
100,708
100,594
100,601
100,616
100,670
100,675
100,617
100,688
100,640
100,724
100,739
100,582
100,610
100,661
100,602
100,607
100,588
100,645
100,661
100,680
100,598
200,1764
200,1700
200,1517
200,1399
200,1544
200,1650
200,1453
200,1388
200,1522
200,1696
200,2041
200,1494
200,1814
200,1411
200,1575
200,1463
200,1634
200,1393
200,1544
200,1780
200,1895
200,1534
200,1400
200,1573
200,1576
200,1442
200,1447
200,1386
200,1542
200,1637
200,1520
200,1698
200,1674
200,1804
200,1738
200,1660
200,1459
200,1689
200,1527
200,1894
200,1471
200,1489
200,1529
200,1459
200,1721
200,1543
200,1430
200,1588
200,1678
200,1435
200,1469
200,1491
200,1576
200,1694
200,1870
200,1607
200,1442
200,1588
200,1647
200,1488
200,1558
200,1559
200,1532
200,1642
200,1446
200,1407
200,1568
200,1816
200,1603
200,1636
200,1563
200,1507
200,1590
200,1691
200,1587
200,1496
200,1687
200,1532
200,2025
200,1444
200,1506
200,1555
200,1446
200,1578
200,1677
200,1453
200,1399
200,1469
200,1541
200,1528
200,1751
200,1648
200,1964
200,1872
200,1701
200,1551
200,1706
200,1619
200,1821
200,1580
300,2517
300,2857
300,2270
300,2872
300,2878
300,2400
300,2814
300,2701
300,2504
300,3040
300,2589
300,2457
300,2523
300,2440
300,2627
300,2773
300,2902
300,2429
300,2482
300,2820
300,2495
300,2527
300,2588
300,2521
300,2265
300,2435
300,2694
300,2841
300,2295
300,2566
300,2401
300,2541
300,2876
300,2535
300,2784
300,2697
300,2951
300,2460
300,2518
300,2343
300,2299
300,3061
