size(n),counter(comps)
10000,150838
20000,353536
30000,548806
40000,778055
50000,870033
60000,1159329
70000,1301358
80000,1617489
90000,1747129
100000,2084180
110000,2260112
120000,2515217
130000,2806119
140000,2995065
150000,3427974
160000,3430824
170000,3610277
180000,3803151
190000,3970041
200000,4289528
210000,4585417
220000,4835208
230000,5044317
240000,5291187
250000,5393910
260000,6033666
270000,5826286
280000,6719129
290000,6461432
300000,6738309
310000,7134077
320000,6961626
330000,7403997
340000,7888299
350000,8100514
360000,8046254
370000,8899114
380000,9504249
390000,9140353
400000,9083814
410000,9663422
420000,9650769
430000,10065461
440000,10289572
450000,10724450
460000,11168382
470000,11431069
480000,11326510
490000,11847368
500000,12494004
510000,12216944
520000,12609919
530000,12307573
540000,12836856
550000,13477815
560000,13206624
570000,13792966
580000,14500638
590000,14703698
600000,15649227
610000,15426802
620000,16517315
630000,15065264
640000,15379474
650000,16367787
660000,16060955
670000,16697013
680000,16571524
690000,17717863
700000,17066020
710000,18787509
720000,17784286
730000,18908124
740000,18954115
750000,18542979
760000,20048520
770000,19211355
780000,20020412
790000,21011667
800000,20642747
810000,19964776
820000,20543925
830000,21128139
840000,21858603
850000,21908652
860000,22569911
870000,23154826
880000,24021675
890000,23919856
900000,23484225
910000,24914065
920000,25299899
930000,25043635
940000,24311071
950000,25021510
960000,25121708
970000,25395536
980000,26303162
990000,25044059
1000000,27133536
